Praxis × 观猹 × LEAVEBOX,7月19日,19:00–21:00,上海（具体地点未公开）,https://www.feishu.cn/share/base/form/shrcnWsUzg7M4A7PgPoaR6OvYxe?share_link_type=qrcode&ccm_open_type=form_qrcode,未标明,WAIC 2026｜00后闭门交流会,一场仅限50人的AI Native青年闭门交流。活动拒绝中登式经验、权威崇拜与路径依赖，通过主办方开场、五位嘉宾闪电分享、两轮主题圆桌和自由交流，让年轻技术、艺术、研究、创业与投资从业者交换真实经验和判断。,00后AI Native青年；技术开发者、艺术创作者、研究者、创业者、投资人、哲学思考者,未标明,50人闭门交流 + 闪电分享 + 主题圆桌 + 1v1,用户提供海报,待人工,未标明,未标明,未标明,上海市浦东新区浦东世博片区,上海市浦东新区浦东镇世博片区
RTE 开发者社区 × WAIC UP!,7月19日,19:00开始,WAIC大会场地,待人工,免费,RTE × WAIC UP! 夜场：桌游 + Vibe Coding,RTE 开发者社区与 WAIC UP! 把桌游和 Vibe Coding 放进同一个夜场，用全球首款 AI 主题桌游《Talk With》帮助陌生开发者、创业者和 AI 从业者快速进入有内容的对话，并结合现场共创延续白天没有聊完的问题。,开发者、创业者与 AI 从业者,未标明,AI 主题桌游发布 + Vibe Coding + Afterparty,微信公众号 / 博客园,https://mp.weixin.qq.com/s/gPEZ0vTh-81gwEohj9niMA | https://www.cnblogs.com/rtedev/p/21348273,RTE 开发者社区,07-10-18:00,未标明,上海市浦东新区滨江大道2727号上海国际会议中心,上海市徐汇区龙腾大道2727号
WAIC UP MORE × ATOX × TIDE,7月19日,18:30–21:30,上海张江科学会堂五楼光空间,点击微信公众号原文底部“阅读原文”报名,¥298,APEC Youth AI Night · 亚太青年创造者之夜,亚太青年创造者之夜以主题演讲、圆桌论坛和 Lightning Pitch 连接来自不同地区的青年 AI 创造者。参与者可以集中了解项目实践和区域创新趋势，并在自由交流环节寻找跨境合作伙伴。,青年 AI 创造者及关注亚太创新合作的人,未标明,圆桌 + 论坛,微信公众号 / 小红书,https://mp.weixin.qq.com/s/E6WfShP09YTAXl-igxpNYQ | https://www.xiaohongshu.com/explore/6a4d25ba000000001602473f,WAIC UP MORE × ATOX × TIDE / AttraX,07-08-00:13,未标明,上海市浦东新区海科路1393号张江科学会堂,上海市浦东新区海科路张江科学会堂(W1门)
WAIC UP MORE × 观猹,7月19日,18:30 签到，19:00 开场，21:30 结束,上海徐汇·模速空间·第三空间,https://watcha.cn/shop,¥168,WAIC UP! × 观猹｜Good or Bad 之夜,WAIC UP MORE 与观猹联合打造的桌面 AI Agent 产品开放麦，把 YouNavi、ColaOS、米羊科技、阶跃 AI 与 NewMax AI 等产品直接带到现场真机演示。观众可以用 Good/Bad 牌即时投票，哪里卡壳就追问哪里，适合想近距离判断 Agent 产品体验与落地能力的人参与,关注桌面 AI Agent 产品、产品体验与商业化落地的人,未标明,产品开放麦 + 真机演示 + 观众评审,新浪财经 / 微信公众号,https://finance.sina.cn/hy/2026-07-09/detail-inihhrah3959649.d.html | https://mp.weixin.qq.com/s/Ip6n_RdcU6xr6S6MSjSkcw,世界人工智能大会 | WAIC UP MORE × 观猹,07-09-22:05,未标明,上海市徐汇区模速空间·第三空间,上海市徐汇区
WAIC UP MORE × 知乎,7月19日,18:30–21:30,世博展览馆负一层魔盒舞台,WAIC 2026最全 Side events_持续更新 by SmallWOD x 知乎,免费,知乎学术酒吧 · 创造者之夜,WAIC UP MORE 与知乎联合举办的创造者之夜，围绕“AI 时代，年轻人如何在变化里创造自己的价值”展开圆桌对谈。活动免费，适合关注 AI、内容创造与个人成长的人参与。,关注 AI 时代个人创造力、职业变化与内容创造的 WAIC 参会者,未标明,圆桌 + 学术酒吧,飞书,WAIC 2026最全 Side events_持续更新 by SmallWOD x 知乎,WAIC UP MORE × 知乎,未标明,未标明,上海市浦东新区博成路850号世博展览馆负一层魔盒舞台,上海市浦东新区博成路850号
Yantao & Jomy,7月19日,19:00-22:00,上海徐汇·北杨AI小镇,https://agibarbar.feishu.cn/share/base/form/shrcnZe2emxzOlNTJeYdcaaUeRb,未标明,Context Infra交流会,面向做过 Agent 产品的实践者，围绕 Context Infra 和上下文资产展开小规模交流。活动鼓励参与者带着真实系统、工程问题和经验到场，重点讨论 Agent 在长期记忆、工具调用与上下文组织上的基础设施机会。,做过Agent产品的朋友,"名字：Yantao
背景：未标明；
名字：Jomy
背景：未标明；",线下交流/Side Event,WaytoAGI,https://waic.waytoagi.com/events/e_abaa0fc4aa,Yantao & Jomy,07-15-15:48,未标明,上海市徐汇区越界锦和产业园(北杨人工智能小镇),上海市徐汇区越界
ZVerse × 张江人工智能创新小镇,7月19日,12:00–18:30,上海张江·AI 应用商店一楼咖啡,无需预约,未标明,ZVerse Open Day｜WAIC Coffee Chat,ZVerse 在张江设置一场无需预约、可以随时加入的开放 Coffee Chat。这个 AI Native 社群长期关注 AI 与人文的交叉，以及技术对个体、组织、职业和真实生活的影响；活动希望用有信息密度、也有温度的真人交流连接不同领域的参与者。,关注 AI 与人文交叉，以及 AI 对个体、组织、职业和真实生活影响的人,未标明,开放式Coffee Chat,小红书,https://www.xiaohongshu.com/explore/6a55bfa5000000000702ccaa,张江男同学,07-14-12:48,未标明,上海市浦东新区张江高科技园区瑞庆路590号张江人工智能岛,上海市浦东新区张江高科技园区张江人工智能岛
长石资本 × 智友雅瑞,7月19日,18:00–22:00,重合餐厅 & Cafe & Bistro,见微信公众号原文报名,免费,「具身之环」私享酒会,「具身之环」私享酒会 是由长石资本 × 智友雅瑞发起的WAIC 2026 期间的酒会 + 私享会。长石资本 × 智友雅瑞 · 私享酒会。活动安排为7月19日，18:00–22:00，重合餐厅 & Cafe & Bistro,未标明,未标明,酒会 + 私享会,微信公众号,https://mp.weixin.qq.com/s/U8NPhQ1NvUNj_o57zcFgdw,长石资本 × 智友雅瑞,07-09-17:50,未标明,上海市浦东新区世博大道1368号世博源,上海市浦东新区世博大道1368号世博源
高鹄资本,7月19日,09:30-11:30,世博展览馆 H4 领航舞台,关注高鹄资本公众号报名,未标明,高鹄资本 · AI Frontier Talks,高鹄资本 在WAIC领航舞台发起AI Frontier Talks，聚焦智能新高度与创新新形态，连接投资人与AI创业者，探讨智能体、算力与产业落地的前沿投资逻辑。,未标明,未标明,Side Event,公开网页,待人工,高鹄资本,未标明,未标明,上海市浦东新区博成路850号上海世博展览馆H4领航舞台,上海市浦东新区博成路850号
高鹄资本 × 靖亚资本,7月19日,18:00–22:00,上海（报名通过后可见）,https://luma.com/bmhcs0i2,免费,WAIC After Party｜来吃肉，顺便交个朋友,WAIC After Party｜来吃肉，顺便交个朋友 是由高鹄资本 × 靖亚资本发起的WAIC 2026 期间的派对。高鹄资本 × 靖亚资本 · BBQ + 轻分享（每人 3 分钟，无 PPT）。活动安排为7月19日，18:00–22:00，上海（报名通过后可见）,未标明,未标明,派对,Luma,https://luma.com/bmhcs0i2,高鹄资本 × 靖亚资本,未标明,未标明,上海市浦东新区世博片区,上海市浦东新区世博片区
杭州 AI 工坊,7月19日,19:00–22:00,上海（报名后通知）,见微信公众号原文报名,免费,Fnights · AI 小酒馆 S11：从搞砸到出货,Fnights · AI 小酒馆 S11：从搞砸到出货 是由杭州 AI 工坊发起的WAIC 2026 期间的线下交流活动。杭州 AI 工坊 · 社交 · 翻车与出货故事会。活动安排为7月19日，19:00–22:00，上海（报名后通知）,未标明,未标明,未标明,微信公众号,https://mp.weixin.qq.com/s/Ihx5XvR6U_6ZgaNH0KJwzw,杭州 AI 工坊,07-13-17:17,未标明,上海市浦东世博片区,上海市浦东新区浦东镇世博片区
蚂蚁灵波,7月19日,17:30–20:00,上海世博天地 AOKKA,https://www.bagevent.com/event/lingbot-waic-2026,免费,WAIC 具身派对 · 和 LingBot 主创们聊聊 2.0 发布周背后的故事,WAIC 具身派对 · 和 LingBot 主创们聊聊 2.0 发布周背后的故事 是由蚂蚁灵波发起的WAIC 2026 期间的派对。蚂蚁灵波 · 对谈 + 社交。活动安排为7月19日，17:30–20:00，上海世博天地 AOKKA,未标明,未标明,派对,百格活动,https://www.bagevent.com/event/lingbot-waic-2026,蚂蚁灵波,未标明,未标明,上海市浦东新区即墨路3号世博源F1,上海市浦东新区即墨路3号
上海数睿思行智能科技,7月19日,19:00–22:00,上海徐汇（报名后可查看详细地址）,https://sh.huodongxing.com/event/1867696845400,¥60,WAIC 2026 Afterparty · AI小酒馆夜话,WAIC 日程结束后，用一场小酒馆夜话继续聊 AI 产品、创业实践和行业观察。活动采用更松弛的线下交流形式，适合希望在大会之外结识同行、交换真实经验的人。,未标明,未标明,Afterparty,活动行,https://sh.huodongxing.com/event/1867696845400,数睿思行,未标明,未标明,上海市徐汇区,上海市徐汇区
深圳市机器人协会 × 霞光社,7月19日,17:30–21:00,上海世博天地（报名成功后通知）,见微信公众号原文报名,免费,具身智能夜话：从真实场景，到全球市场,具身智能夜话：从真实场景，到全球市场 是由深圳市机器人协会 × 霞光社发起的WAIC 2026 期间的闭门交流 + 圆桌。深圳市机器人协会 × 霞光社 · 闭门冷餐会 + 圆桌讨论。活动安排为7月19日，17:30–21:00，上海世博天地（报名成功后通知）,未标明,未标明,闭门交流 + 圆桌,微信公众号,https://mp.weixin.qq.com/s/xJI-rNSYGnK7vFfgzx35nQ,深圳市机器人协会 × 霞光社,07-10-15:12,未标明,上海市浦东新区世博大道1368号,上海市浦东新区世博大道1368号
数睿思行,7月19日,19:00–22:00,上海徐汇（报名后可查看地址）,https://www.huodongxing.com/event/1867696845400,免费,数睿思行 AfterParty,数睿思行 AfterParty 是由数睿思行发起的WAIC 2026 期间的派对。活动安排为7月19日，19:00–22:00，上海徐汇（报名后可查看地址）,,,派对,活动行,https://www.huodongxing.com/event/1867696845400,数睿思行,未标明,未标明,上海市徐汇区,上海市徐汇区
未标明,7月19日,晚上,上海（WAIC会场附近）,https://waic.waytoagi.com/events/e_4fe781eca7,未标明,2026 WAIC 山西籍AI创业者夜话（上海）,随着 2026 WAIC（世界人工智能大会）在上海举办，本次活动旨在发起一场属于山西籍 AI 创业者的线下聚会。在白天逛展、听论坛之余，邀请大家在晚上聚在一起吃饭、交流、复盘，认识更多志同道合的伙伴。 这不仅是一场普通的聚餐，更是一场高质量的行业交流会。参与者将共同分享当天看到的最新 AI 产品和技术趋势，交流创业方向、产品想法和商业机会，并寻找合作伙伴、客户、技术及项目资源。无论你是创业者、开发者还是产品人，都能在这里碰撞出新的合作机会。,未标明,未标明,线下交流 / Side Event,WaytoAGI,https://waic.waytoagi.com/events/e_4fe781eca7,未标明,07-14-09:43,07-19 19:02,上海市浦东新区花博大道100号,上海市崇明区花博大道
硬着陆,7月19日,19:00–21:00,上海（确认参加者单独通知）,https://mee7.ha7ch.com/e/hard-landing-consumer,免费,硬碰硬 #001 Shanghai · 出海消费硬件闭门互助会,硬碰硬 #001 Shanghai · 出海消费硬件闭门互助会 是由硬着陆发起的WAIC 2026 期间的闭门交流 + 圆桌。硬着陆 · 闭门圆桌（约 32 位 builder）。活动安排为7月19日，19:00–21:00，上海（确认参加者单独通知）,未标明,未标明,闭门交流 + 圆桌,mee7.ha7ch.com,https://mee7.ha7ch.com/e/hard-landing-consumer,硬着陆,未标明,未标明,上海市浦东新区世博片区,上海市浦东新区世博片区
原力灵机 × Motphys × 大晓机器人,7月19日,18:00–20:00（17:30签到）,上海世博中心旁·世博源2区（上海市世博大道1368号；详细地址与访客码审核后发送）,https://www.feishu.cn/share/base/form/shrcnlrbR1ZLWmO6NBr0lsFBMXb?share_link_type=qrcode&ccm_open_type=form_qrcode,未标明,WAIC 2026 具身开发者 Meetup｜具身共生·智赋未来,面向具身智能一线开发者的技术聚会，集中呈现DMO.5、DFOL 2.0、Human-Centric Learning、RoboChallenge与llama.cpp等模型、评测和开源实践，并以开放对话交流具身大模型、真实硬件、仿真评测与产业落地。,算法工程师、机器人研发人员、高校博后/研究员、AI产业技术负责人、具身智能开发者,"名字：周而进
背景：Dexmal 联合创始人；
名字：汪天才
背景：Dexmal 联合创始人；
名字：杨森
背景：大晓机器人世界模型基础研发负责人；
名字：陈阳
背景：Dexmal 开源战略生态总经理、开源社理事；
名字：Xuan-Son Nguyen
背景：Hugging Face 工程师、llama.cpp 核心贡献者；
名字：孙家琦
背景：谋先飞联合创始人兼首席架构师；
名字：许银
背景：OpenBuild 联合创始人、开源社理事；",邀请审核制技术 Meetup + 模型发布 + 开放对话,用户提供海报,待人工,未标明,未标明,未标明,上海市浦东新区世博大道1368号,上海市浦东新区世博大道1368号
智元机器人,7月19日,18:00–21:30,星巴克臻选（前滩）,见微信公众号原文报名,免费,智元「元苼生态」之夜 · WAIC After Party,智元「元苼生态」之夜 · WAIC After Party 是由智元机器人发起的WAIC 2026 期间的酒会 + 派对。智元机器人 · 社交酒会。活动安排为7月19日，18:00–21:30，星巴克臻选（前滩）,,,酒会 + 派对,微信公众号,https://mp.weixin.qq.com/s/B8JjW_y9gjjrOnDkHq1Q4w,智元机器人,未标明,未标明,上海市浦东新区东育路500号前滩太古里,上海市浦东新区东育路500前滩
AGI House Asia,7月20日,19:00-22:00,Mbay 贝湾（梅奔江景店），梅赛德斯奔驰文化中心 6 号口入 L108-109,扫码报名,未标明,WAIC Creator Night｜江边之夜,AGI House Asia 支持发起的 Creator Night，把 WAIC 期间的行业交流带到滨江酒吧，以更松弛的方式交换 AI 出海实操经验。议题覆盖海外落地、全球化品牌、流量冷启动、产品差异化、区域选择与跨境收付风控，并通过嘉宾分享、自由夜聊和全员开放麦连接创始人、技术负责人、海外操盘手、研究员与早期投资人,AI 出海领域的创始人、技术负责人、海外操盘手、研究员与早期投资人,"名字：孙克强
背景：Mizzen 创始人；
名字：宋航 Wade
背景：TEA AI 联合创始人；
名字：Rebecca
背景：Hakko AI 产品负责人；
名字：Christine
背景：Freebeat Growth Lead；
名字：Becca Liu
背景：游乐能 HappyPower 创始人；
名字：王炳翰 Brian
背景：自然映射 SlashVibe 创始人；
名字：Corrine Wu & 老何
背景：PathFinder Growth 负责人；
名字：Joey
背景：Open Design CMO / 增长负责人；
名字：Lydia Li
背景：OpenMax 产品运营总监；
名字：朱正 Felix
背景：SmallWOD Co-founder；
名字：陈昱东 Alvin
背景：Hypit 创始人；",闭门分享 + 滨江夜聊 + 开放麦,微信公众号,https://mp.weixin.qq.com/s/u_xHFKzcIRLsF3cv32AE6w,AGI House Asia,07-14-19:02,7月16日 23:59,上海市浦东新区银飞路166号梅赛德斯-奔驰文化中心6号口L108-109,上海市浦东新区银飞路166号
AhaCreator,7月20日,19:00–22:00,世博大道 1200 号梅赛德斯奔驰文化中心 6 号入口 贝湾 Mbay Bar,见微信公众号原文报名,免费,Creator Night · AI 时代，如何「长」出全球竞争力,Creator Night · AI 时代，如何「长」出全球竞争力 是由AhaCreator发起的WAIC 2026 期间的开放麦 + 主题分享。AhaCreator · 主题分享 + 自由讨论 + 开放麦。活动安排为7月20日，19:00–22:00，世博大道 1200 号梅赛德斯奔驰文化中心 6 号入口 贝湾 Mbay Bar,未标明,未标明,开放麦 + 主题分享,微信公众号,https://mp.weixin.qq.com/s/M4CcTK6YTdYTYDKQd5y24A,AhaCreator,未标明,未标明,上海市浦东新区世博大道1200号梅赛德斯奔驰文化中心6号入口贝湾Mbay Bar,上海市浦东新区世博大道1200号梅赛德斯奔驰文化中心(西门)6f号
Harry × 汪天凡,7月20日,18:30-22:00,浅深上海（准确地址报名后确认）,https://luma.com/n2tzlqom,未公开；页面注明管饭,WAIC 泡汤夜谈 · 限席小聚,在 WAIC 展会连轴转、饭局排到凌晨的忙碌节奏中，我们想换个方式见面。 与其在展台间进行几百次寒暄，不如在安静的泡池里聊几句真心话。本次活动为限席小聚，每次仅约 4-5 人，旨在提供一个私密、放松的环境。这里不设议程、不带名片，只聊聊真正让你兴奋、焦虑，或睡不着的事。,创业者、投资人、技术与产品从业者,未标明,线下交流 / Side Event,WaytoAGI / Luma / AfterParty,https://waic.waytoagi.com/events/e_7262402a7c | https://afterparty.d1v.ai/events/1f4d0911-e375-4c17-a077-93edbc1a2b76,未标明,07-13-19:31,未标明,上海市浦东新区浦东世博片区,上海市浦东新区浦东镇世博片区
Nebulon Ventures 等,7月20日,00:00–03:00,上海（报名后通知）,见微信公众号原文报名,免费,和 6 家刚成立的 VC 一起洗澡看球,和 5 家刚成立的 VC 一起洗澡看球 是由Nebulon Ventures 等发起的WAIC 2026 期间的线下交流活动。Nebulon Ventures 等 · 凌晨浴场社交 · 世界杯观赛。活动安排为7月20日，00:00–03:00，上海（报名后通知）,未标明,未标明,未标明,微信公众号,https://mp.weixin.qq.com/s/w5RvLzwCvoJrRhx4oUgxXQ,Nebulon Ventures 等,未标明,未标明,上海市浦东新区世博大道1750号,上海市浦东新区世博大道1750号
RClub DAO × CDDJAP × ME Group,7月20日,13:00–19:30（互动吧页面另显示13:30–18:30，待主办方确认）,上海市黄浦区四川北路939号滨港商业中心L7乐江南,https://party.hudongba.com/party/u1j57.html,¥166,智能体经济的崛起｜The Rise of Agent Economy,从Agentic AI走向Physical AI的一日论坛，议题覆盖创业与VC、区块链与支付、企业级智能体部署、开发者工具、内容与音乐智能体、金融科技及生态建设，兼顾趋势判断、项目实践和跨领域连接。,创业者、投资人、AI Agent / Physical AI / 支付与金融科技从业者,"名字：王岳华
背景：Draper Dragon 管理合伙人；
名字：Jessica Yang
背景：ME Group CEO；
名字：Alexandru Cujba
背景：BAI 创始人兼执行总裁；
名字：Mark Xing
背景：六鹰资本合伙人；
名字：胡恒峰
背景：复星财富数字资产业务董事；
名字：孔华威
背景：中国计算机专家、资深科技投资人、上海中科计算技术研究所所长；
名字：杨林苑
背景：Copilot Venture CEO；
名字：戴庆祝
背景：芝麻信用创始人、锦鲤智能创始人；
名字：Oliver Li
背景：Paramita Venture 创始人；
名字：于佳宁
背景：Uweb 大学校长；
名字：董重青
背景：清华上海校友会IT财经专委会秘书长；
名字：Seven Guo
背景：CDDJAP 运营合伙人；
名字：Jacky Kong
背景：Head of HK at Ava Labs；
名字：Misue
背景：AgentOn 市场负责人；
名字：Fred Yang
背景：biu.fun 创始人；
名字：Valeria
背景：Miuro 合伙人；
名字：达夫
背景：FinChip.AI Eco Advisor；
名字：覃冠豪
背景：ArtiMAX 创始人；",主题论坛 + 炉边对话 + 项目/生态交流,互动吧 / 用户提供海报,https://party.hudongba.com/party/u1j57.html,RClub DAO,07-13-07:42,07-20 13:30,上海市黄浦区四川北路939号滨港商业中心L7,上海市虹口区四川北路滨港商业中心
Research AI+（启点）,7月20日,19:00–22:00,上海（报名通过后告知）,按小红书原帖说明在评论区报名,免费,AI 研究者派对之夏 · Embodied AI Night,AI 研究者派对之夏的 Embodied AI 专场聚集具身智能方向的研究者和工程技术人，在新天地附近以分享和派对结合的方式讨论模型、机器人与真实世界交互。活动免费，具体地点在报名通过后获取。,具身智能方向的科研、工程与技术人群,未标明,闭门交流 + 派对,小红书,https://www.xiaohongshu.com/explore/6a55be35000000001603d4d0,Research AI+ 社区,07-14-12:42,未标明,上海市浦东新区浦东世博片区,上海市浦东新区浦东镇世博片区
elsewhere别处发生,7月20日,3:00,上海,联系原帖发布人报名,未标明,组织个凌晨观赛活动,elsewhere 在 WAIC 收官日凌晨组织世界杯决赛观赛局。正式开赛前，参与者可以上台分享与足球有关的内容，围绕决赛结果展开辩论，并参加与现场人数匹配的社群游戏，把观赛、表达和深夜社交放在同一场活动里。,未标明,未标明,世界杯决赛观赛 + 开放分享 + 辩论 + 社群游戏,小红书,https://www.xiaohongshu.com/explore/6a3a42a50000000021017650,elsewhere别处发生,06-23-16:24,07-17 23:59,上海市浦东世博片区,上海市浦东新区浦东镇世博片区
鲲腾能科（上海）技术有限公司,7月20日,18:30-21:30,上海WAIC会场周边,https://sh.huodongxing.com/event/8868733622800,未标明,WAIC 2026 收官之夜 · AI SUMMER 闭门酒会晚宴,WAIC 最后一天的闭门收官酒会先复盘大会成果，再通过嘉宾引荐和 AI 产业生态研讨连接项目与资源，最后以晚宴和自由交流完成更深入的产业对接。活动限量邀约，面向有真实项目和明确合作需求的参与者。,有真实 AI 产品或项目的创业者、招商决策人和投资合伙人,未标明,闭门研讨 + 酒会晚宴 + 产业对接,活动行 / 公开网页,https://sh.huodongxing.com/event/8868733622800,鲲腾能科（上海）技术有限公司,未标明,未标明,上海市浦东新区张江高科技园区博云路2号浦软大厦周边,上海市浦东新区张江高科技园区博云路2号浦软大厦
逐日前线,7月20日,14:00–17:30,模速第三空间（云绣路 29 号 103 室）,待人工,免费,OPC 出海第一站 · 模速空间特别闭门会,OPC 出海第一站 · 模速空间特别闭门会 是由逐日前线发起的WAIC 2026 期间的闭门交流 + 圆桌 + 主题分享。逐日前线 · 主题分享 + 圆桌对话 + Q&A + 自由交流。活动安排为7月20日，14:00–17:30，模速第三空间（云绣路 29 号 103 室）,未标明,未标明,闭门交流 + 圆桌 + 主题分享,微信公众号,待人工,逐日前线,未标明,未标明,上海市青浦区云绣路29号103室,上海市青浦区
逐日前线 × ForFlow,7月20日,19:00–21:30,浦东世纪大道 800 号莲花跑车大厦,https://www.huodongxing.com/event/7869423766600,¥126,Speed of Attention · Final Night After Party,Speed of Attention · Final Night After Party 是由逐日前线 × ForFlow发起的WAIC 2026 期间的派对。逐日前线 × ForFlow · After Party 自由交流（含软饮/酒水）。活动安排为7月20日，19:00–21:30，浦东世纪大道 800 号莲花跑车大厦,未标明,未标明,派对,活动行,https://www.huodongxing.com/event/7869423766600,逐日前线 × ForFlow,未标明,未标明,上海市浦东新区世纪大道800号,上海市浦东新区世纪大道800号
上海学术酒吧,7月16日-7月21日,下午 晚上,徐汇，世博，张江，陆家嘴等空间,评论区或私信分享感兴趣方向报名,未标明,上海学术酒吧｜WAIC 期间特别版,面向 WAIC 期间来到上海的 AI 学者、博士、教授、创业者和行业专家的学术酒吧交流活动。参与者可通过评论区或私信分享关注方向报名，适合想在展会之外进行跨领域深度交流的人参与。,AI 学者、博士、教授、AI 创业者、行业专家，以及关注具身智能、物理 AI、世界模型、医药、芯片半导体、AI4S、金融等方向的人,未标明,学术酒吧,小红书,https://www.xiaohongshu.com/explore/6a4e63ba000000001c026ae1,上海学术酒吧,07-08-22:50,未标明,上海市黄浦区世博片区,上海市浦东新区世博片区
